start,end,title,description,type,level0,level1,level2,lattitude,longitude
1975-04-04,,Microsoft Founded,Bill Gates and Paul Allen found Microsoft to develop BASIC for the Altair 8800.,event,Microsoft,Corporate,Founding,35.0844,-106.6504
1976-04-01,,Apple Founded,Steve Jobs and Steve Wozniak form Apple Computer to sell the Apple I.,event,Apple,Corporate,Founding,37.3230,-122.0322
1977-06-16,,Oracle Founded,Larry Ellison and partners found SDL (later Oracle) to build a relational database.,event,Oracle,Corporate,Founding,37.5295,-122.2530
1979-06-01,,Oracle v2 Release,The first commercially available SQL-based relational database management system.,product,Oracle,Software,Database,,
1980-12-12,,Apple IPO,Apple goes public at $22 per share creating more millionaires than any IPO in history.,finance,Apple,Corporate,Market,37.3318,-122.0312
1981-08-12,,IBM PC Launch,IBM introduces the PC Model 5150 using Microsoft MS-DOS as the operating system.,product,IBM,Computing,Hardware,,
1983-01-19,,Apple Lisa,The first personal computer with a graphical user interface aimed at business users.,product,Apple,Computing,Hardware,,
1984-01-24,,Macintosh Launch,Apple launches the Macintosh with the iconic "1984" Super Bowl commercial.,product,Apple,Computing,Hardware,,
1985-11-20,,Windows 1.0,Microsoft releases its first graphical operating environment for MS-DOS.,product,Microsoft,Software,OS,,
1986-03-12,,Oracle IPO,Oracle goes public on the NASDAQ raising $31.5 million.,finance,Oracle,Corporate,Market,,
1986-03-13,,Microsoft IPO,Microsoft goes public at $21 per share making Bill Gates a billionaire by age 31.,finance,Microsoft,Corporate,Market,47.6740,-122.1215
1989-08-01,,Microsoft Office,First version of the Office suite for Mac including Word Excel and PowerPoint.,product,Microsoft,Software,Productivity,,
1990-05-22,,Windows 3.0,The first version of Windows to achieve widespread commercial success.,product,Microsoft,Software,OS,,
1993-01-01,1993-12-31,IBM Crisis Year,IBM reports a record $8 billion loss leading to a massive strategic overhaul.,finance,IBM,Corporate,Financial,,
1995-08-24,,Windows 95,Major OS launch featuring the Start Menu and a massive global marketing campaign.,product,Microsoft,Software,OS,,
1997-08-06,,Microsoft Invests in Apple,Microsoft invests $150M in a struggling Apple to ensure the survival of its rival.,finance,Apple,Corporate,Strategic,,
1997-09-16,2011-08-24,Steve Jobs 2nd Term,Jobs returns to lead Apple's transformation into a consumer electronics giant.,reign,Apple,Leadership,Executive,,
1998-08-15,,iMac G3 Launch,The colorful all-in-one computer that signaled Apple's return to profitability.,product,Apple,Computing,Hardware,,
1998-09-04,,Google Founded,Larry Page and Sergey Brin incorporate Google in a garage in Menlo Park.,event,Google,Corporate,Founding,37.4419,-122.1430
2000-01-13,2014-02-04,Steve Ballmer Era,Ballmer leads Microsoft through the PC era peak and the launch of Azure and Xbox.,reign,Microsoft,Leadership,Executive,,
2001-05-19,,Apple Store Opens,The first Apple retail stores open in Tysons Corner and Glendale.,event,Apple,Corporate,Retail,,
2001-10-23,,iPod Launch,Apple introduces a pocket-sized digital music player with "1,000 songs.",product,Apple,Consumer,Hardware,,
2001-11-15,,Xbox Launch,Microsoft enters the gaming console market to compete with Sony and Nintendo.,product,Microsoft,Consumer,Hardware,,
2002-07-30,,IBM Buys PwC Consulting,IBM acquires PricewaterhouseCoopers' consulting arm to pivot toward services.,acquisition,IBM,Services,Expansion,,
2004-04-01,,Gmail Launch,Google enters the email market with a 1GB storage limit in beta.,product,Google,Services,Software,,
2004-08-19,,Google IPO,Google goes public using a Dutch Auction raising $1.67 billion.,finance,Google,Corporate,Market,,
2005-01-14,,Oracle Buys PeopleSoft,Oracle completes a $10.3 billion hostile takeover of its ERP rival.,acquisition,Oracle,Software,Strategy,,
2005-05-01,,IBM Sells PC Division,IBM sells its ThinkPad and PC business to Lenovo exiting the consumer market.,event,IBM,Corporate,Divestment,,
2005-07-11,,Google Buys Android,Google buys the mobile startup Android for an estimated $50 million.,acquisition,Google,Mobile,Strategy,,
2006-10-09,,Google Buys YouTube,Google acquires the video platform for $1.65 billion in stock.,acquisition,Google,Web,Media,,
